timestamp_utc,session,member,video_id,views,likes
2026-05-30T14:50:52.835534+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3138,850
2026-05-30T14:50:52.835534+00:00,0530 음악중심,리오,hFzZt3MeAtY,3812,1150
2026-05-30T14:50:52.835534+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2044,374
2026-05-30T14:50:52.835534+00:00,0530 음악중심,준서,lAsf2DeuEgk,1679,506
2026-05-30T14:55:52.172552+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5151,1197
2026-05-30T14:55:52.172552+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5979,1579
2026-05-30T14:55:52.172552+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2925,688
2026-05-30T14:55:52.172552+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2634,542
2026-05-30T14:55:52.172552+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4483,1162
2026-05-30T14:55:52.172552+00:00,0530 음악중심,안신,2wwWOyJxHGA,2375,675
2026-05-30T14:55:52.172552+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4538,1266
2026-05-30T14:55:52.172552+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3174,857
2026-05-30T14:55:52.172552+00:00,0530 음악중심,리오,hFzZt3MeAtY,3855,1156
2026-05-30T14:55:52.172552+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2055,374
2026-05-30T14:55:52.172552+00:00,0530 음악중심,준서,lAsf2DeuEgk,1700,510
2026-05-30T15:01:00.594223+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5203,1201
2026-05-30T15:01:00.594223+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,6013,1580
2026-05-30T15:01:00.594223+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2949,690
2026-05-30T15:01:00.594223+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2655,545
2026-05-30T15:01:00.594223+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4554,1164
2026-05-30T15:01:00.594223+00:00,0530 음악중심,안신,2wwWOyJxHGA,2403,679
2026-05-30T15:01:00.594223+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4580,1270
2026-05-30T15:01:00.594223+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3202,859
2026-05-30T15:01:00.594223+00:00,0530 음악중심,리오,hFzZt3MeAtY,3912,1161
2026-05-30T15:01:00.594223+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2067,375
2026-05-30T15:01:00.594223+00:00,0530 음악중심,준서,lAsf2DeuEgk,1717,513
2026-05-30T15:05:46.393670+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5229,1205
2026-05-30T15:05:46.393670+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,6038,1581
2026-05-30T15:05:46.393670+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2963,693
2026-05-30T15:05:46.393670+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2685,548
2026-05-30T15:05:46.393670+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4591,1172
2026-05-30T15:05:46.393670+00:00,0530 음악중심,안신,2wwWOyJxHGA,2403,682
2026-05-30T15:05:46.393670+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4618,1273
2026-05-30T15:05:46.393670+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3221,863
2026-05-30T15:05:46.393670+00:00,0530 음악중심,리오,hFzZt3MeAtY,3940,1167
2026-05-30T15:05:46.393670+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2079,376
2026-05-30T15:05:46.393670+00:00,0530 음악중심,준서,lAsf2DeuEgk,1726,516
2026-05-30T15:10:48.262092+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5272,1212
2026-05-30T15:10:48.262092+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,6063,1585
2026-05-30T15:10:48.262092+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2973,693
2026-05-30T15:10:48.262092+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2697,550
2026-05-30T15:10:48.262092+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4649,1176
2026-05-30T15:10:48.262092+00:00,0530 음악중심,안신,2wwWOyJxHGA,2416,685
2026-05-30T15:10:48.262092+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4688,1278
2026-05-30T15:10:48.262092+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3297,866
2026-05-30T15:10:48.262092+00:00,0530 음악중심,리오,hFzZt3MeAtY,3987,1180
2026-05-30T15:10:48.262092+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2083,379
2026-05-30T15:10:48.262092+00:00,0530 음악중심,준서,lAsf2DeuEgk,1743,520
2026-05-30T15:15:54.906816+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5305,1214
2026-05-30T15:15:54.906816+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,6092,1589
2026-05-30T15:15:54.906816+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2996,695
2026-05-30T15:15:54.906816+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2697,556
2026-05-30T15:15:54.906816+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4691,1182
2026-05-30T15:15:54.906816+00:00,0530 음악중심,안신,2wwWOyJxHGA,2436,690
2026-05-30T15:15:54.906816+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4723,1285
2026-05-30T15:15:54.906816+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3321,875
2026-05-30T15:15:54.906816+00:00,0530 음악중심,리오,hFzZt3MeAtY,4039,1185
2026-05-30T15:15:54.906816+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2094,382
2026-05-30T15:15:54.906816+00:00,0530 음악중심,준서,lAsf2DeuEgk,1763,522
2026-05-30T15:17:36.374180+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5362,1217
2026-05-30T15:17:36.374180+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,6092,1590
2026-05-30T15:17:36.374180+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2996,695
2026-05-30T15:17:36.374180+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2716,557
2026-05-30T15:17:36.374180+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4691,1182
2026-05-30T15:17:36.374180+00:00,0530 음악중심,안신,2wwWOyJxHGA,2436,690
2026-05-30T15:17:36.374180+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4723,1285
2026-05-30T15:17:36.374180+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3321,877
2026-05-30T15:17:36.374180+00:00,0530 음악중심,리오,hFzZt3MeAtY,4075,1189
2026-05-30T15:17:36.374180+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2094,382
2026-05-30T15:17:36.374180+00:00,0530 음악중심,준서,lAsf2DeuEgk,1764,523
2026-05-30T15:20:47.708441+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5362,1219
2026-05-30T15:20:47.708441+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,6137,1593
2026-05-30T15:20:47.708441+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,3028,697
2026-05-30T15:20:47.708441+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2738,557
